SMILES,IC50,pIC50,curated_SMILES
CC(=O)CCC1(Cc2ccc(C)cc2)[C@]2(C)OO[C@@]1(C)OO2,9.8,5.008773924307505,CC(=O)CCC1(Cc2ccc(C)cc2)[C@]2(C)OO[C@@]1(C)OO2
N#Cc1c(C(F)(F)F)cc(Nc2ccc3nc(NCCN4CCCC4)oc3c2)n2c1nc1ccccc12,4.64,5.333482019445119,N#Cc1c(C(F)(F)F)cc(Nc2ccc3nc(NCCN4CCCC4)oc3c2)n2c1nc1ccccc12
N#Cc1c(C(F)(F)F)cc(Nc2cccc(OC(F)(F)F)c2)n2c1nc1ccccc12,1.05,5.978810700930062,N#Cc1c(C(F)(F)F)cc(Nc2cccc(OC(F)(F)F)c2)n2c1nc1ccccc12
CNC1CCN(c2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4ccccc4n23)C1,6.96,5.157390760389438,CNC1CCN(c2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4ccccc4n23)C1
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cc(Cl)ccc3n12,2.41,5.617982957425132,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cc(Cl)ccc3n12
CN1CCC(Oc2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4ccccc4n23)CC1,9.2,5.036212172654444,CN1CCC(Oc2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4ccccc4n23)CC1
O=C(Nc1ccc2c(c1)OC(F)(F)O2)Nc1ccc(F)c(C(F)(F)F)c1,0.49,6.309803919971486,O=C(Nc1ccc2c(c1)OC(F)(F)O2)Nc1ccc(F)c(C(F)(F)F)c1
O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccnc(C(F)(F)F)c1,0.88,6.055517327849832,O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccnc(C(F)(F)F)c1
CC1[C@]2(C)OO[C@@]1(C13CC4CC(CC(C4)C1)C3)OO2,3.9,5.4089353929735005,CC1[C@]2(C)OO[C@@]1(C13CC4CC(CC(C4)C1)C3)OO2
CC1N=C(c2ccccc2Cl)c2c(/N=N\c3ccc(O)c4ccccc34)cccc2NC1=O,0.02,7.698970004336019,CC1N=C(c2ccccc2Cl)c2c(/N=N\c3ccc(O)c4ccccc34)cccc2NC1=O
CC(=O)[C@]1(Cc2ccc(C)cc2)CC[C@]2(C)OO[C@@]1(C)O2,10.0,5.0,CC(=O)[C@]1(Cc2ccc(C)cc2)CC[C@]2(C)OO[C@@]1(C)O2
Cn1c(=O)c2c(S(C)(=O)=O)snc2n(C)c1=O,4.7,5.327902142064282,Cn1c(=O)c2c(S(C)(=O)=O)snc2n(C)c1=O
CN1CCC(NCc2cccc(-c3ccc(S(=O)(=O)NCc4ccccc4)cc3)c2)CC1,3.0,5.522878745280337,CN1CCC(NCc2cccc(-c3ccc(S(=O)(=O)NCc4ccccc4)cc3)c2)CC1
c1ccc(Oc2ccc(-c3cncc(-c4ccc5[nH]ccc5c4)n3)cc2)cc1,3.4,5.468521082957745,c1ccc(Oc2ccc(-c3cncc(-c4ccc5[nH]ccc5c4)n3)cc2)cc1
CC(C)=CCC/C(C)=C\CNCCNC1C2CC3CC(C2)CC1C3,4.9,5.309803919971486,CC(C)=CCC/C(C)=C\CNCCNC1C2CC3CC(C2)CC1C3
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ncccc3n12,4.6,5.337242168318426,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ncccc3n12
Fc1ccc(Cl)cc1-c1nc(Nc2ccncc2)c2nccnc2n1,7.5,5.1249387366083,Fc1ccc(Cl)cc1-c1nc(Nc2ccncc2)c2nccnc2n1
CN1CCN(CCCOc2ncc(Nc3ncc(-c4ccc(C(F)(F)F)c(F)c4)nc3C(N)=O)cn2)CC1,3.0,5.522878745280337,CN1CCN(CCCOc2ncc(Nc3ncc(-c4ccc(C(F)(F)F)c(F)c4)nc3C(N)=O)cn2)CC1
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,2.7,5.568636235841012,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1
FC(F)(F)Oc1ccc(Nc2cc(C(F)(F)F)cc3nc4ccccc4n23)cc1,3.37,5.4723700991286615,FC(F)(F)Oc1ccc(Nc2cc(C(F)(F)F)cc3nc4ccccc4n23)cc1
CN(C)CCNc1nc2ccc(Nc3cc(C(F)(F)F)c(C#N)c4nc5ccccc5n34)cc2o1,3.75,5.425968732272281,CN(C)CCNc1nc2ccc(Nc3cc(C(F)(F)F)c(C#N)c4nc5ccccc5n34)cc2o1
O=C(Nc1cc(C(F)(F)F)ccc1Cl)c1ccccc1O,0.6,6.221848749616356,O=C(Nc1cc(C(F)(F)F)ccc1Cl)c1ccccc1O
COc1ncnc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)c1OC,1.38,5.860120913598763,COc1ncnc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)c1OC
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,2.9,5.537602002101044,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cccc(Cl)c3n12,1.62,5.790484985457369,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cccc(Cl)c3n12
Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,6.3,5.200659450546418,Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1
Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,2.2,5.657577319177793,Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1
COc1cccc(-n2nnnc2S(C)(=O)=O)c1,6.8,5.167491087293763,COc1cccc(-n2nnnc2S(C)(=O)=O)c1
N#Cc1c(C(F)(F)F)cc(NCc2ccc(F)cc2)n2c1nc1cc(Cl)c(Cl)cc12,1.69,5.772113295386326,N#Cc1c(C(F)(F)F)cc(NCc2ccc(F)cc2)n2c1nc1cc(Cl)c(Cl)cc12
CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S,0.013,7.886056647693163,CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S
O=S(=O)(Nc1cc(C(F)(F)F)cc2nc3cc(Cl)c(Cl)cc3n12)c1ccc(OC(F)(F)F)cc1,1.09,5.962573502059376,O=S(=O)(Nc1cc(C(F)(F)F)cc2nc3cc(Cl)c(Cl)cc3n12)c1ccc(OC(F)(F)F)cc1
N#Cc1c(C(F)(F)F)cc(Nc2ccccc2OC(F)(F)F)n2c1nc1ccccc12,1.65,5.782516055786093,N#Cc1c(C(F)(F)F)cc(Nc2ccccc2OC(F)(F)F)n2c1nc1ccccc12
Cc1ccc(CNc2cc(C(F)(F)F)c(C#N)c3nc4cc(Cl)c(Cl)cc4n23)cc1,1.17,5.931814138253839,Cc1ccc(CNc2cc(C(F)(F)F)c(C#N)c3nc4cc(Cl)c(Cl)cc4n23)cc1
N#Cc1c(C(F)(F)F)cc(NCc2cccc(F)c2)n2c1nc1cc(Cl)c(Cl)cc12,0.4,6.3979400086720375,N#Cc1c(C(F)(F)F)cc(NCc2cccc(F)c2)n2c1nc1cc(Cl)c(Cl)cc12
N#Cc1c(C(F)(F)F)cc(NCc2ccccc2F)n2c1nc1cc(Cl)c(Cl)cc12,0.38,6.42021640338319,N#Cc1c(C(F)(F)F)cc(NCc2ccccc2F)n2c1nc1cc(Cl)c(Cl)cc12
CC12CCC3[C@@](C)(OO[C@]3(C)O1)O2,19.2,4.71669877129645,CC12CCC3[C@@](C)(OO[C@]3(C)O1)O2
Cn1c2nc3ccccc3c-2c(NCCc2c[nH]c3ccccc23)c2ccccc21,2700.0,2.5686362358410126,Cn1c2nc3ccccc3c-2c(NCCc2c[nH]c3ccccc23)c2ccccc21
CC1(C)CCC[C@]2(C)c3ccc(O)cc3CC[C@@H]12,19.9,4.701146923590294,CC1(C)CCC[C@]2(C)c3ccc(O)cc3CC[C@@H]12
